threshold,precision,recall,f1,f2,targeted_customers,targeted_rate,true_positives,false_positives,false_negatives,true_negatives
0.445,0.8214285714285714,0.9426229508196722,0.8778625954198473,0.9156050955414012,280,0.18421052631578946,230,50,14,1226
0.45,0.8273381294964028,0.9426229508196722,0.8812260536398467,0.9170653907496013,278,0.18289473684210528,230,48,14,1228
0.455,0.8267148014440433,0.9385245901639344,0.8790786948176583,0.9138068635275339,277,0.18223684210526317,229,48,15,1228
0.46,0.8297101449275363,0.9385245901639344,0.8807692307692307,0.9145367412140575,276,0.18157894736842106,229,47,15,1229
0.465,0.8382352941176471,0.9344262295081968,0.8837209302325582,0.9134615384615384,272,0.17894736842105263,228,44,16,1232
0.47,0.8382352941176471,0.9344262295081968,0.8837209302325582,0.9134615384615384,272,0.17894736842105263,228,44,16,1232
0.475,0.8413284132841329,0.9344262295081968,0.8854368932038835,0.9141940657578188,271,0.17828947368421053,228,43,16,1233
0.48,0.8413284132841329,0.9344262295081968,0.8854368932038835,0.9141940657578188,271,0.17828947368421053,228,43,16,1233
0.485,0.8413284132841329,0.9344262295081968,0.8854368932038835,0.9141940657578188,271,0.17828947368421053,228,43,16,1233
0.49,0.8475836431226765,0.9344262295081968,0.8888888888888888,0.9156626506024096,269,0.1769736842105263,228,41,16,1235
0.495,0.8470149253731343,0.930327868852459,0.88671875,0.912379421221865,268,0.1763157894736842,227,41,17,1235
0.5,0.849624060150376,0.9262295081967213,0.8862745098039215,0.9098228663446055,266,0.175,226,40,18,1236
0.505,0.8528301886792453,0.9262295081967213,0.888015717092338,0.9105560032232071,265,0.17434210526315788,226,39,18,1237
0.51,0.8528301886792453,0.9262295081967213,0.888015717092338,0.9105560032232071,265,0.17434210526315788,226,39,18,1237
0.515,0.8560606060606061,0.9262295081967213,0.889763779527559,0.9112903225806451,264,0.1736842105263158,226,38,18,1238
0.52,0.8560606060606061,0.9262295081967213,0.889763779527559,0.9112903225806451,264,0.1736842105263158,226,38,18,1238
0.525,0.8593155893536122,0.9262295081967213,0.8915187376725838,0.9120258272800645,263,0.1730263157894737,226,37,18,1239
0.53,0.8593155893536122,0.9262295081967213,0.8915187376725838,0.9120258272800645,263,0.1730263157894737,226,37,18,1239
0.535,0.8593155893536122,0.9262295081967213,0.8915187376725838,0.9120258272800645,263,0.1730263157894737,226,37,18,1239
0.54,0.8593155893536122,0.9262295081967213,0.8915187376725838,0.9120258272800645,263,0.1730263157894737,226,37,18,1239
0.545,0.8593155893536122,0.9262295081967213,0.8915187376725838,0.9120258272800645,263,0.1730263157894737,226,37,18,1239
0.55,0.8593155893536122,0.9262295081967213,0.8915187376725838,0.9120258272800645,263,0.1730263157894737,226,37,18,1239
0.555,0.8625954198473282,0.9262295081967213,0.8932806324110671,0.9127625201938611,262,0.1723684210526316,226,36,18,1240
0.56,0.8620689655172413,0.9221311475409836,0.8910891089108911,0.9094583670169766,261,0.17171052631578948,225,36,19,1240
0.565,0.8648648648648649,0.9180327868852459,0.8906560636182903,0.9068825910931174,259,0.17039473684210527,224,35,20,1241
0.57,0.8671875,0.9098360655737705,0.888,0.900974025974026,256,0.16842105263157894,222,34,22,1242
0.575,0.8705882352941177,0.9098360655737705,0.8897795591182365,0.9017059301380991,255,0.16776315789473684,222,33,22,1243
0.58,0.8740157480314961,0.9098360655737705,0.891566265060241,0.9024390243902439,254,0.16710526315789473,222,32,22,1244
0.585,0.8740157480314961,0.9098360655737705,0.891566265060241,0.9024390243902439,254,0.16710526315789473,222,32,22,1244
0.59,0.8774703557312253,0.9098360655737705,0.8933601609657947,0.903173311635476,253,0.16644736842105262,222,31,22,1245
0.595,0.8844621513944223,0.9098360655737705,0.896969696969697,0.9046454767726161,251,0.16513157894736843,222,29,22,1247
0.6,0.891566265060241,0.9098360655737705,0.9006085192697769,0.9061224489795918,249,0.16381578947368422,222,27,22,1249
0.605,0.8911290322580645,0.9057377049180327,0.8983739837398373,0.9027777777777778,248,0.1631578947368421,221,27,23,1249
0.61,0.8947368421052632,0.9057377049180327,0.90020366598778,0.9035159443990188,247,0.1625,221,26,23,1250
0.615,0.8947368421052632,0.9057377049180327,0.90020366598778,0.9035159443990188,247,0.1625,221,26,23,1250
0.62,0.8947368421052632,0.9057377049180327,0.90020366598778,0.9035159443990188,247,0.1625,221,26,23,1250
